SAMPN,PERNO,origin,destination
1185817,1,4611387893,5280135616
1185817,2,4611387893,1723738887
1186189,1,57879737,3127163345
1186499,2,57872403,1723739359
1186575,2,57855579,53092233
1186814,1,57938995,65308278
1186940,1,57835455,2230747177
1186940,3,57835455,2293888716
1187251,2,57811342,57859400
1187251,3,57811342,309570241
1187427,1,57811305,240448958
1187627,1,57861999,1928262644
1187627,2,57861999,57880158
1188614,2,2463633243,57830546
1188930,1,57802426,1148372833
1188996,1,57802426,1990630265
1253392,1,110402376,276549441
1253624,1,2883228845,1511349597
1253990,1,110366057,65317030
1253990,2,110366057,1588932881
1254386,1,110382320,62416973
1254386,2,110382320,462036035
1254764,1,110383584,315412306
1254807,1,2583215585,110350401
1254807,2,2583215585,270661889
1254869,1,1076018311,734772935
1264944,1,1587141078,62416133
1264944,3,1587141078,4588500422
1264944,5,1587141078,62416133
1264982,1,320813148,540171552
1265445,1,55962267,55956398
1265445,2,55962267,303685292
1265657,1,4588500428,55956556
1265854,1,55957845,55961847
1300642,1,65317713,65334120
1300922,1,173176455,65312706
1300935,1,65314166,1723738893
1300991,1,65360287,258286458
1301070,1,65322300,258467576
1301070,2,65322300,1588932881
1301096,1,2399950829,65613990
1301103,1,2399950833,56018811
1301180,1,258886236,65327181
1301180,2,258886236,65317030
1301189,1,65319637,65308413
1301194,1,65318612,65317595
1301194,2,65318612,65306787
1301454,1,65312115,65545447
1301460,1,65296327,57862616
1302149,1,65297593,1511349597
1302642,1,5330747075,258757618
1306637,1,65447824,65395289
1306637,2,65447824,65440483
1307452,1,65439179,65392827
1307452,2,65439179,65432212
1307452,3,65439179,65432212
1307452,4,65439179,297165588
1307983,1,65441379,54891483
1308172,1,3976947730,1045419575
1308172,2,3976947730,93412379
1308172,3,3976947730,1723739163
1308552,1,564637410,65628969
1310704,1,65660471,65647490
1310943,2,65608528,65470603
1311217,1,65499634,65568467
1311217,2,65499634,704784837
1311296,2,65399936,65556603
1311356,1,65457738,65446354
1311406,1,410314047,259247193
1311441,1,315026362,662726277
1311441,2,315026362,1678683807
1312753,2,65518077,53133390
1313043,2,65560182,3889910907
1313096,1,65465514,5376561804
1313096,2,65465514,668434725
1313108,1,1071874093,65403116
1313118,1,5049986969,287825433
1313118,2,5049986969,65458872
1313118,3,5049986969,65447979
1313385,1,65616464,272296807
1313385,2,65616464,65449632
1313593,1,65672950,1079589724
1313678,1,246581762,3394771782
1313678,2,246581762,1102852003
1313933,2,65454204,4785494212
1313990,2,317529071,297690759
1313997,1,65566704,5050344935
1314069,1,317529071,2460760149
1318928,1,62416257,1895824101
1319753,1,56013903,354852517
1319784,1,56115973,56018811
1319784,3,56115973,55960841
1320244,1,56133418,56152233
1320399,1,56109919,56019180
1320472,1,56091875,56018811
1320472,2,56091875,56145478
1320527,1,56043967,55950053
1320747,1,56046958,351117462
1320747,2,56046958,1511349597
1320761,1,56046947,56034775
1320792,1,56082136,257876361
1320953,1,3292802531,55968160
1321010,1,56031956,56164903
1336408,1,678295796,53086984
1336408,2,678295796,352924085
1336484,2,52987929,65461317
1337345,3,65504551,668462030
1337354,2,262105240,532759497
1337701,1,65317570,258956662
1338074,1,65290335,65303541
1338074,2,65290335,65295289
1338123,1,1103465123,275406508
1338286,1,1712572378,1511349597
1338901,1,2194909751,577478853
1339110,1,65428899,4148256397
1339110,2,65428899,470211795
1339110,3,65428899,65469162
1339110,4,65428899,65469162
1339402,2,4931112322,53107428
1339402,3,4931112322,53107428
1340060,1,1676005285,301503404
1340250,2,57835455,2565663218
1340373,1,65651479,4920372955
1340472,1,57835928,2177741149
1340472,2,57835928,437162054
1340572,1,53114501,461443503
1340759,2,65530601,65458098
1340975,1,57817795,65308278
1340975,2,57817795,30364622
1341034,1,65609953,65430879
1341204,1,57816880,370690309
1341349,2,65468303,760439618
1341753,1,110386007,110432520
1341753,2,110386007,257876432
1341769,1,65436891,5228064062
1342126,1,65572227,65460269
1342126,2,65572227,1107767661
1342185,1,53079877,2834852328
1342185,2,53079877,305467757
1342402,1,3036383471,62325755
1342402,2,3036383471,65295289
1342402,3,3036383471,3036383471
1342643,1,1793901791,249031560
1342753,1,57952751,65303732
1342997,1,308866725,32791319
1342997,2,308866725,2460760149
1342997,3,308866725,257669422
1343310,2,57824363,110384132
1343310,3,57824363,53096090
1343322,2,2471279609,65496777
1344212,1,62501674,2806973934
1344212,2,62501674,62501674
1344646,1,65290335,65317754
1345158,2,110364912,29892673
1345255,1,312410718,3652090817
1345255,2,312410718,432740160
1345255,3,312410718,432588488
1345476,1,4593190581,2427018809
1345559,1,257433450,1723739123
1345717,1,258910938,3741990223
1346089,1,2448254398,65490040
1346089,2,2448254398,65528248
1346126,1,110433446,2583215585
1346828,1,65436937,248088339
1346828,3,65436937,248088339
1347176,2,53035398,2427287768
1347308,1,65518172,65550675
1347439,1,259581499,53041081
1347534,1,4911354210,54891483
1347582,1,53035009,53099246
1347582,2,53035009,65493275
1347737,1,3800756330,62386631
1347737,3,3800756330,696456446
1348446,2,65543290,660032391
1348467,1,298082750,93412379
1348699,1,56026654,56027623
1349071,1,55957556,1129660944
1349071,2,55957556,2336015905
1349641,1,65457738,432648995
1349641,2,65457738,65310799
1349876,2,55946253,55960585
1350362,1,4177203557,65565191
1350434,1,65550343,3208509425
1350548,2,55959241,1948376169
1350548,3,55959241,4589509541
1350577,2,258759744,5024250713
1350715,2,65433034,449081463
1351613,1,312415258,1708913892
1351654,2,65501665,65427475
1351846,2,53056303,261736298
1351847,1,312410718,65500363
1351847,2,312410718,4583560588
1352094,1,55956120,55949471
1352094,3,55956120,4619663121
1352094,4,55956120,4619793542
1352129,1,110433446,110382256
1352129,2,110433446,110419418
1353055,1,56102891,56102891
1353055,2,56102891,56027453
1353181,2,1633038207,262693285
1353242,1,1834862247,65315466
1353242,2,1834862247,55960841
1353974,1,65636188,65471420
1353974,2,65636188,65471420
1355739,1,1071838859,1723739244
1355772,1,57898460,65317795
1356459,1,65291774,2315555430
1356775,1,65314163,65315717
1357139,1,53124760,4181943508
1358363,1,65461771,1027195984
1358618,1,57885636,1835679964
1358652,1,1422395684,65403114
1358652,2,1422395684,3995343773
1358866,1,65317954,258757451
1358970,2,2705187493,1080268604
1359110,1,312410718,65567148
1359110,2,312410718,65451184
1359347,1,846496880,53039965
1359429,1,56024840,4593108203
1359429,2,56024840,56002158
1359429,3,56024840,56026675
1360089,1,57860485,57865381
1360089,2,57860485,262078986
1360436,2,53067444,441217155
1360490,1,53087540,261859257
1360490,2,53087540,2230688685
1360510,1,290879408,65459952
1360575,1,62446969,4061806111
1360575,2,62446969,65317780
1360905,2,2954360061,65671205
1360918,2,65386173,347631051
1360918,3,65386173,3756924095
1361609,1,4352984612,62382161
1361771,1,65582899,65424485
1362225,2,99428142,271855192
1362557,1,1895821090,65327408
1362557,2,1895821090,53069740
1362586,1,283263289,358391108
1363695,1,65469165,65448697
1363695,2,65469165,430022312
1363788,1,65415464,2282623216
1363788,2,65415464,65295355
1363867,1,293507672,65546310
1363867,2,293507672,65440781
1364040,1,2705064530,318293733
1365175,1,258911619,65295289
1365372,1,65621006,65401373
1365391,2,310970403,315026362
1365391,3,310970403,152347320
1365541,1,65372925,57827870
1365818,2,65560182,3221879965
1365925,1,62400006,62433761
1365925,2,62400006,355702178
1366787,1,3057899475,668462030
1366787,2,3057899475,65645389
1366888,1,258911637,1511349597
1366976,2,53035739,242578789
1366976,3,53035739,242578789
1367190,1,2147409212,283273746
1367190,2,2147409212,668462029
1367673,2,2399950829,65308413
1367693,3,65612374,1071375167
1367841,1,65296818,541338643
1367841,2,65296818,541338643
1368133,1,65623175,65566696
1368133,2,65623175,2299911481
1368260,1,65502013,65421188
1368369,1,65530599,1020769462
1368586,1,53112145,53025208
1368733,3,53073118,1720016836
1368802,1,53079507,1698569799
1368802,2,53079507,611530105
1368802,3,53079507,57835966
1368976,2,258125430,65513990
1368976,3,258125430,371279470
1368976,4,258125430,248102521
1369076,1,53117382,53030266
1369404,1,53063239,53044287
1369457,1,53077118,53115329
1369876,1,65512058,1945533512
1370191,1,349352613,53086783
1370191,2,349352613,1835554900
1370191,4,349352613,53035770
1370193,1,65345359,65336479
